pubid,question,context,long_answer,final_decision
25439433,Is chronic central serous chorioretinopathy associated with genetic variants implicated in age-related macular degeneration?,"{'contexts': array(['In this study, single nucleotide polymorphisms (SNPs) at 19 loci, previously associated with age-related macular degeneration (AMD), were systematically tested for association in patients with chronic central serous chorioretinopathy (cCSC). In addition, we evaluated the effect of detailed phenotyping on these genetic associations.',
       'Case-control study.',
       'We included 292 cCSC patients, 1147 AMD patients, and 1311 control individuals.',
       'We genotyped SNPs at 19 AMD-associated loci and 6 additional SNPs at the complement factor H (CFH) locus. Phenotyping of all patients was based on fundoscopy, spectral-domain optical coherence tomography, fluorescein angiography (FA), and indocyanine green angiography.',
       'We measured the allele frequencies of 25 AMD-associated SNPs and CFH haplotype frequencies in patients with cCSC and the effect of phenotypic subdivision of cCSC on genetic associations.',
       'One SNP in ARMS2 (rs10490924) was significant after Bonferroni correction (Punadjusted=0.002; odds ratio [OR]=0.64). The SNPs at 3 other AMD loci (CFH, TNFRSF10A, ADAMTS9) showed a trend toward association with typical cCSC. Further analysis of the CFH locus identified 2 SNPs that significantly conferred increased risk for cCSC and 1 that was protective. The CFH-H3 haplotype was also found to be protective (P=0.01; OR=0.54). Using multimodal imaging, 197 patients were classified as having typical cCSC, 52 patients had unilateral abnormalities on FA that were otherwise typical of cCSC, and 43 patients had a clinical picture that could be compatible with cCSC, but with features that could also indicate other macular diseases. Significant differences of the minor allele frequencies of the tested SNPs were observed between these 3 phenotypic subgroups.'],
      dtype=object), 'labels': array(['OBJECTIVE', 'METHODS', 'METHODS', 'METHODS', 'METHODS', 'RESULTS'],
      dtype=object), 'meshes': array(['Adult', 'Aged', 'Aged, 80 and over', 'Case-Control Studies',
       'Central Serous Chorioretinopathy', 'Chronic Disease',
       'Coloring Agents', 'Complement Factor H', 'Female',
       'Fluorescein Angiography', 'Gene Frequency',
       'Genetic Association Studies', 'Genotyping Techniques', 'Humans',
       'Indocyanine Green', 'Macular Degeneration', 'Male', 'Middle Aged',
       'Multimodal Imaging', 'Ophthalmoscopy',
       'Polymorphism, Single Nucleotide', 'Proteins',
       'Tomography, Optical Coherence', 'Young Adult'], dtype=object)}","Chronic CSC is associated with genetic variants in ARMS2 and CFH, indicating a genetic and pathophysiologic overlap between cCSC and AMD. Intriguingly, alleles in ARMS2 and CFH that confer risk of AMD may be protective for cCSC, and alleles in CFH that are protective for AMD confer risk for cCSC. Significant differences in allele frequencies were found among the phenotypic subgroups for several SNPs, illustrating the importance of correct clinical classification.",yes
25439430,Do genetic variations of IL17F and IL23A show associations with Behçet 's disease and Vogt-Koyanagi-Harada syndrome?,"{'contexts': array([""To investigate the associations of IL17A, IL17F, IL23A, and IL23R copy number variants (CNVs) with Vogt-Koyanagi-Harada (VKH) syndrome and Behçet's disease (BD) and the possible mechanisms involved."",
       'Two-stage case-control and functional studies.',
       'A total of 1159 VKH patients, 1036 BD patients, and 2050 controls were enrolled.',
       'TaqMan real-time polymerase chain reaction assay was used for genotyping of copy number variant. Cell proliferation was measured by colorimetric assay.',
       'Association of CNVs in IL17A, IL17F, IL23A, and IL23R with BD and VKH syndrome and the functional roles of IL17F CNVs.',
       'Increased frequencies of more than 2 copies of IL17F and IL23A were found in BD patients as compared with controls (IL17F: P=4.17×10(-8); odds ratio [OR], 2.2; IL23A: P=2.86×10(-11); OR, 2.8, respectively). A similar result was found for VKH syndrome (IL17F: P=2.84×10(-13); OR, 2.7; IL23A: P=4.46×10(-17); OR, 3.4, respectively). Interestingly, the association of IL17F and IL23A with BD was found only in male patients (IL17F: P=1.06×10(-6); OR, 2.3; IL23A, P=3.81×10(-8); OR, 2.8, respectively), but not in female patients. No association of CNVs in IL17A and IL23R was found for BD and VKH syndrome. IL17F protein levels were correlated positively with gene copy numbers (P=3.43×10(-7)). Individuals with high IL17F copies showed enhanced peripheral blood mononuclear cells (PBMC) proliferation (P=5.67×10(-3)).'],
      dtype=object), 'labels': array(['OBJECTIVE', 'METHODS', 'METHODS', 'METHODS', 'METHODS', 'RESULTS'],
      dtype=object), 'meshes': array(['Adult', 'Asian Continental Ancestry Group', 'Behcet Syndrome',
       'Case-Control Studies', 'Cell Proliferation',
       'DNA Copy Number Variations', 'Female',
       'Genetic Association Studies', 'Genetic Predisposition to Disease',
       'Genetic Variation', 'Genotyping Techniques', 'Humans',
       'Interleukin-17', 'Interleukin-23 Subunit p19',
       'Leukocytes, Mononuclear', 'Male',
       'Real-Time Polymerase Chain Reaction', 'Sex Factors',
       'Uveomeningoencephalitic Syndrome'], dtype=object)}",High gene copy numbers of IL17F and IL23A were associated with BD and VKH syndrome. Enhanced IL17F protein production and PBMC proliferation were associated with high IL17F copy numbers.,yes
25444242,Do [ Recovery of maxillary tooth sensibility after Le Fort I osteotomy ]?,"{'contexts': array(['Upper alveolar nerves, when injured during Le Fort I osteotomies, alter maxillary tooth sensitivity. We had for aim to analyze post-operative maxillary tooth sensitivity recovery.',
       'We conducted a prospective study in a series of patients having undergone Le Fort I osteotomy, with, or without mandibular osteotomy or intermaxillary disjunction (IMD). The direction and range of displacement of the maxillary bone were recorded. One tooth in each alveolar sector (incisivocanine, premolar, molar) was tested with an electric stimulator for each patient. The tests were performed before (D-1), and after surgery (D2 or day+2, D+15, M2 (or month +2), M3, and M6).',
       'Twenty-two patients were included. Among the tested teeth, 91.9 % were sensitive at D-1. At D2, only 12.7 % of teeth were sensitive. At D15, M2, M3, and M6, the sensitivity was respectively 33.3 %, 43.1 %, 50 %, and 61.8 %. The recovery of sensitivity was faster in young patients (under 35 years of age) and for upper middle and superior alveolar nerves. There was no difference regarding the direction of maxillary movement.'],
      dtype=object), 'labels': array(['BACKGROUND', 'METHODS', 'RESULTS'], dtype=object), 'meshes': array(['Adolescent', 'Adult', 'Electric Stimulation', 'Female',
       'Follow-Up Studies', 'Humans', 'Male', 'Mandible', 'Maxilla',
       'Middle Aged', 'Osteotomy, Le Fort', 'Sensation', 'Tooth',
       'Touch Perception', 'Young Adult'], dtype=object)}","Among the teeth that were sensitive before surgery, 87.3 % had not regained sensitivity at D2. The recovery of sensitivity increased at D15. A great displacement of the maxillary bone was an aggravating factor for loss of tooth sensitivity.",yes
25427642,Does echogenicity of medium-to-large carotid plaques predict future vascular events?,"{'contexts': array(['Although the echolucent plaque in carotid stenosis is associated with future ischemic stroke, the predictive value of echogenicity in small and medium size carotid plaques on vascular events has not been thoroughly examined. Thus, we prospectively tested the hypothesis that plaque echogenicity of carotid atheroma can predict the future total cardiovascular events in patients with vascular risk factors.',
       'Ultrasound assessment of carotid intima-media complex thickness (IMT) and plaque echogenicity using integrated backscatter (IBS) analysis was performed in 596 patients aged 40 or more, with any history of vascular events or with at least 1 risk factor, who were enrolled between 2001 and 2006 in the Osaka Follow-up Study for Carotid Atherosclerosis, part 2 (OSACA2). We followed the incidence of total cardiovascular events including cerebrovascular events, coronary heart disease (CHD), and peripheral artery disease (PAD) for 6.4 years. We divided the patients into two groups according to the IBS index above (echorich plaques) and under (echolucent plaque) the median value, and calculated the hazard ratios (HR) of the echolucent group compared with the echogenic group in the risk of cardiovascular events.',
       'Among 596 patients, carotid stenosis was found only in 87 patients. During the follow-up period, we observed 121 cardiovascular events including 63 cerebrovascular events, 45 CHD cases, and 13 PAD cases. The patients with incident cardiovascular events had larger plaque thickness and lower IBS index than those without incident vascular events. The relative risk of vascular events for echolucent versus echorich plaques was 1.45 (95% confidence interval [CI] 0.99-2.13, p = 0.058) after adjustment for risk factors and plaque thickness. In patients with plaque size above the median value (>2.1 mm), the relative risk of vascular events for echolucent plaques was 1.72 (95% CI 1.06-2.85, p = 0.029), but this association was not observed in patients with plaque size <2.0 mm.'],
      dtype=object), 'labels': array(['BACKGROUND', 'METHODS', 'RESULTS'], dtype=object), 'meshes': array(['Adult', 'Aged', 'Aged, 80 and over', 'Carotid Artery Diseases',
       'Coronary Artery Disease', 'Female', 'Follow-Up Studies', 'Humans',
       'Male', 'Middle Aged', 'Peripheral Arterial Disease',
       'Predictive Value of Tests', 'Risk', 'Risk Factors', 'Stroke'],
      dtype=object)}","The association between echogenicity of carotid plaque and incident vascular events is dependent on the plaque size. Echolucent medium-to-large plaques, but not small plaques, are associated with the risk of future total cardiovascular events. This finding suggests that measurement of echolucency in medium-to-large carotid plaques may improve selection of patients at high risk for total vascular events.",yes
25451436,Is sTin2 VNTR polymorphism associated with comorbid tobacco use and mood disorders?,"{'contexts': array(['There is a significant comorbidity between mood disorders and tobacco use disorder (TUD), which may be related to both genetic and environmental factors. Gene variants of the 5-HT transporter, such as STin2 VNTR (a variable number of tandem repeats in the functional serotonin transporter intron 2) may be associated with mood disorders and TUD.',
       'This study aimed to delineate the association between the STin2 genetic polymorphism and comorbid TUD and mood disorders, including depression or bipolar disorder.',
       'We examined the STin2 VNTR polymorphism in never-smokers (n=113); patients with mood disorders without TUD (n=62); patients with TUD without mood disorders (n=90); and patients with both disorders (n=95).',
       'We found a significant association between the STin2 genetic polymorphism and the above diagnostic groups whereby the STin2.12 allele shows a positive association with comorbid TUD and mood disorders (Odds ratio=3.07, 95% CI=1.41-6.68), while the STin2.10/10 homozygous genotype shows a negative association (Odds ratio=0.34, 95% CI=0.16-0.74). Adjusting for years of education, age, gender, marital status and ethnicity did not change these results, but showed that TUD was associated with lower education levels and less stable relationships, whereas mood disorders were related to female gender. A family history of TUD was significantly associated with TUD in subjects without mood disorders only.'],
      dtype=object), 'labels': array(['BACKGROUND', 'OBJECTIVE', 'METHODS', 'RESULTS'], dtype=object), 'meshes': array(['Adult', 'Alleles', 'Bipolar Disorder', 'Comorbidity', 'Female',
       'Genotype', 'Humans', 'Male', 'Middle Aged',
       'Minisatellite Repeats', 'Mood Disorders', 'Polymorphism, Genetic',
       'Serotonin Plasma Membrane Transport Proteins',
       'Tobacco Use Disorder'], dtype=object)}","The STin2.12 allele is positively and the STin2.10/10 genotype is negatively associated with comorbid TUD and mood disorders, depression or bipolar depression, suggesting that biological endophenotypes, e.g. disorders in serotonin metabolism, may in part underpin this comorbidity.",yes
25429050,Do mesalazine and thymoquinone attenuate intestinal tumour development in Msh2 ( loxP/loxP ) Villin-Cre mice?,"{'contexts': array(['Lynch syndrome is caused by germline mutations in DNA mismatch repair genes leading to microsatellite instability (MSI) and colorectal cancer. Mesalazine, commonly used for the treatment of UC, reduces MSI in vitro. Here, we tested natural compounds for such activity and applied mesalazine and thymoquinone in a Msh2(loxP/loxP) Villin-Cre mouse model for Lynch syndrome.',
       'Flow cytometry was used for quantitation of mutation rates at a CA13 microsatellite in human colon cancer (HCT116) cells that had been stably transfected with pIREShyg2-enhanced green fluorescent protein/CA13, a reporter for frameshift mutations. Mice were treated for 43\u2005weeks with mesalazine, thymoquinone or control chow. Intestines were analysed for tumour incidence, tumour multiplicity and size. MSI testing was performed from microdissected normal intestinal or tumour tissue, compared with mouse tails and quantified by the number of mutations per marker (NMPM).',
       'Besides mesalazine, thymoquinone significantly improved replication fidelity at 1.25 and 2.5\u2005µM in HCT116 cells. In Msh2(loxP/loxP) Villin-Cre mice, tumour incidence was reduced by mesalazine from 94% to 69% (p=0.04) and to 56% (p=0.003) by thymoquinone. The mean number of tumours was reduced from 3.1 to 1.4 by mesalazine (p=0.004) and to 1.1 by thymoquinone (p<0.001). Interestingly, MSI was reduced in normal intestinal tissue from 1.5 to 1.2 NMPM (p=0.006) and to 1.1 NMPM (p=0.01) by mesalazine and thymoquinone, respectively. Thymoquinone, but not mesalazine, reduced MSI in tumours.'],
      dtype=object), 'labels': array(['OBJECTIVE', 'METHODS', 'RESULTS'], dtype=object), 'meshes': array(['Animals', 'Anti-Inflammatory Agents, Non-Steroidal',
       'Benzoquinones', 'Cell Proliferation',
       'Colorectal Neoplasms, Hereditary Nonpolyposis',
       'Disease Models, Animal', 'Female', 'Frameshift Mutation',
       'HCT116 Cells', 'Humans', 'Intestinal Mucosa', 'Male',
       'Mesalamine', 'Mice', 'Microsatellite Instability',
       'MutS Homolog 2 Protein', 'Mutation Rate', 'Tumor Burden'],
      dtype=object)}",Mesalazine and thymoquinone reduce tumour incidence and multiplicity in Msh2(loxP/loxP) Villin-Cre mice by reduction of MSI independent of a functional mismatch repair system. Both substances are candidate compounds for chemoprevention in Lynch syndrome mutation carriers.,yes
25442789,Does infusion of human embryonic kidney cell line conditioned medium reverse kainic acid induced hippocampal damage in mice?,"{'contexts': array(['Hippocampal neurodegeneration is one of the hallmarks in neurological and neurodegenerative diseases such as temporal lobe epilepsy and Alzheimer disease. Human embryonic kidney (HEK) cells are a mixed population of cells, including neurons, and their conditioned medium is enriched with erythropoietin (EPO). Because EPO is a known neuroprotectant, we hypothesized that infusion of HEK cells or HEK-conditioned medium (HEK-CM) may provide neuroprotection against kainic acid (KA)-induced hippocampal damage in mice.',
       'Adult CF1 mice were treated with KA to induce hippocampal damage. On 3rd and 5th days after KA treatment, HEK cells or HEK-CM was infused intravenously through the tail vein. On the 7th and 8th days after KA treatment, all groups of mice were subjected to cognitive and depression assessment by use of a novel object recognition test and a forced swim test, respectively. Subsequent to this assessment, mice were killed and the brain samples were used to assess the histopathology and messenger RNA expression for EPO and B-cell lymphoma-2 (Bcl-2).',
       'We found that infusion of HEK cells/HEK-CM improves cognitive function and alleviates symptoms of depression. Histological assessment demonstrates complete neuroprotection against KA-mediated excitotoxicity, and the hippocampal cytoarchitecture of HEK cells/HEK-CM treated mice was comparable to normal control mice. HEK cells/HEK-CM treatment could provide neuroprotection by upregulating the endogenous EPO and Bcl-2 in KA-treated mice.'],
      dtype=object), 'labels': array(['OBJECTIVE', 'METHODS', 'RESULTS'], dtype=object), 'meshes': array(['Animals', 'Brain Injuries', 'Culture Media, Conditioned',
       'Excitatory Amino Acid Agonists', 'HEK293 Cells', 'Hippocampus',
       'Humans', 'Kainic Acid', 'Male', 'Mice', 'Time Factors'],
      dtype=object)}",Our present data demonstrate for the first time that infusion of HEK cells/HEK-CM can prevent excitotoxic hippocampal damage and alleviate consequent behavioral abnormalities.,yes
25444086,Is low transferrin saturation associated with impaired fasting glucose and insulin resistance in the South Korean adults : the 2010 Korean National Health and Nutrition Examination Survey?,"{'contexts': array(['The associations of transferrin saturation with diabetes have not been well evaluated and conflicting results have been reported. The purpose of this study is to examine the association of iron indices (serum ferritin and transferrin saturation) with risk of impaired fasting glucose and insulin resistance.',
       'We conducted a cross-sectional study in 2413 individuals (1150 men and 1263 women) aged 20-50\xa0years who participated in the 2010 Korean National Health and Nutrition Examination Survey. Participants were free of diabetes, malignancy, liver cirrhosis, chronic renal failure, anaemia, pregnancy and menopause. Fasting plasma glucose, insulin and the homeostasis model assessment of insulin resistance (HOMA-IR) were measured as the outcomes.',
       'Impaired fasting glucose was more prevalent in the highest compared with the lowest serum ferritin quartile among men (odds ratio [OR], 1.97; 95% confidence interval [CI], 1.20-3.24) after adjustment for multiple covariates. Following the same adjustment, impaired fasting glucose was less prevalent in the highest compared with the lowest transferrin saturation quartile among men (OR, 0.45; 95% CI, 0.25-0.80) and women (OR, 0.33; 95% CI, 0.14-0.77). Moreover, a higher ferritin level was significantly associated with higher HOMA-IR after adjusting for confounders in men. Lower transferrin saturation was also significantly associated with higher insulin levels and HOMA-IR in both sexes.'],
      dtype=object), 'labels': array(['OBJECTIVE', 'METHODS', 'RESULTS'], dtype=object), 'meshes': array(['Adult', 'Asian Continental Ancestry Group', 'Blood Glucose',
       'Cross-Sectional Studies', 'Fasting', 'Female', 'Ferritins',
       'Health Surveys', 'Humans', 'Insulin', 'Insulin Resistance',
       'Male', 'Middle Aged', 'Republic of Korea', 'Risk Factors',
       'Transferrin'], dtype=object)}",Lower transferrin saturations were associated with an increased risk of impaired fasting glucose and insulin resistance among general South Korean population.,yes
25429728,Does maternal nutrition induce gene expression changes in fetal muscle and adipose tissues in sheep?,"{'contexts': array(['Maternal nutrition during different stages of pregnancy can induce significant changes in the structure, physiology, and metabolism of the offspring. These changes could have important implications on food animal production especially if these perturbations impact muscle and adipose tissue development. Here, we evaluated the impact of different maternal isoenergetic diets, alfalfa haylage (HY; fiber), corn (CN; starch), and dried corn distillers grains (DG; fiber plus protein plus fat), on the transcriptome of fetal muscle and adipose tissues in sheep.',
       'Prepartum diets were associated with notable gene expression changes in fetal tissues. In longissimus dorsi muscle, a total of 224 and 823 genes showed differential expression (FDR ≤0.05) in fetuses derived from DG vs. CN and HY vs. CN maternal diets, respectively. Several of these significant genes affected myogenesis and muscle differentiation. In subcutaneous and perirenal adipose tissues, 745 and 208 genes were differentially expressed (FDR ≤0.05), respectively, between CN and DG diets. Many of these genes are involved in adipogenesis, lipogenesis, and adipose tissue development. Pathway analysis revealed that several GO terms and KEGG pathways were enriched (FDR ≤0.05) with differentially expressed genes associated with tissue and organ development, chromatin biology, and different metabolic processes.'],
      dtype=object), 'labels': array(['BACKGROUND', 'RESULTS'], dtype=object), 'meshes': array(['Adipose Tissue', 'Animal Feed', 'Animals', 'Body Composition',
       'Female', 'Fetal Development', 'Gene Expression Profiling',
       'Maternal Nutritional Physiological Phenomena', 'Pregnancy',
       'Sheep, Domestic', 'Transcriptome'], dtype=object)}","These findings provide evidence that maternal nutrition during pregnancy can alter the programming of fetal muscle and fat tissues in sheep. The ramifications of the observed gene expression changes, in terms of postnatal growth, body composition, and meat quality of the offspring, warrant future investigation.",yes
25424355,Is premature ejaculation associated with glycemic control in Type 1 diabetes?,"{'contexts': array(['Premature ejaculation (PE) is the most common male sexual dysfunction. Its prevalence in Type 1 diabetes is unknown.',
       'The aim of this study was to assess the prevalence of PE in Type 1 diabetes and the influence of glycemic control on ejaculatory function.',
       'One hundred Type 1 diabetic male patients (age\u2009<\u200940 years) and 51 age-matched nondiabetic control subjects were evaluated for PE. A subgroup of 30 diabetic patients (20 with PE and 10 without) were also evaluated for blood glucose variability.',
       'The presence of PE was assessed with the premature ejaculation diagnostic tool (PEDT) and the self-estimated intravaginal ejaculatory latency time (IELT). Glucose variability was evaluated by continuous glucose monitoring for a 7-day period with a DexCom G4 CGM system: the mean amplitude of glycemic excursions (MAGEs), low (LBGI) and high (HBGI) blood glucose indices, and the standard deviation of blood glucose (BGSD) were calculated.',
       'PE prevalence did not differ significantly between the two groups: pathological values of the PEDT score (>8) and IELT score (<1 minute) were recorded in 24 out of 100 diabetic patients (24%) and in 12 out of 51 controls (23.5%). There were significant associations between hemoglobin A1c and the PEDT score (r\u2009=\u20090.27; P\u2009=\u20090.006) and IELT (r\u2009=\u2009-0.3; P\u2009=\u20090.01). In the subgroup assessed for glucose variability, the PEDT score was associated with LBGI (r\u2009=\u20090.43; P\u2009=\u20090.01), but not with BGSD (r\u2009=\u20090.1, P\u2009=\u20090.6), MAGE (r\u2009=\u2009-0.1; P\u2009=\u20090.4), or HBGI (r\u2009=\u20090.1; P\u2009=\u20090.6).'],
      dtype=object), 'labels': array(['BACKGROUND', 'OBJECTIVE', 'METHODS', 'METHODS', 'RESULTS'],
      dtype=object), 'meshes': array(['Adult', 'Body Mass Index', 'Diabetes Mellitus, Type 1',
       'Glycated Hemoglobin A', 'Health Knowledge, Attitudes, Practice',
       'Humans', 'Male', 'Premature Ejaculation', 'Prevalence'],
      dtype=object)}","Our results show a similar prevalence of PE in young male patients with Type 1 diabetes and in the age-matched control population; in diabetic patients with PE, a higher glycemic variability in the hypoglycemic domain is significantly associated with the PEDT score.",yes
25440471,Is myocardial scar characteristics based on cardiac magnetic resonance imaging associated with ventricular tachyarrhythmia in patients with ischemic cardiomyopathy?,"{'contexts': array(['We hypothesized that myocardial scar characterization using cardiac magnetic resonance imaging (CMR) may be associated with the occurrence of ventricular tachyarrhythmia (VT), appropriate implantable cardioverter-defibrillator (ICD) therapy and mortality.',
       'Since a minority of patients with prophylactic ICD implantation receive appropriate ICD therapy, there is a need for more effective risk stratification for primary prevention in patients with ischemic cardiomyopathy.',
       ""In 99 patients with ischemic cardiomyopathy, CMR was performed prior to ICD implantation. We assessed if CMR indices (cardiac mass, LVEF) and CMR scar characteristics (infarct core mass, peri-infarction mass and the ratio's between left ventricular mass, infarct core mass and peri-infarction mass) were associated with outcome. The primary endpoint was sustained VT and/or appropriate ICD therapy. The secondary endpoint was all-cause mortality. During a median follow-up of 5.4 years (IQR 4.5-6.6 years), 34 patients reached the primary end-point (17 appropriate ICD shocks) and 26 patients died. In multivariable Cox regression analysis, peri-infarction to core-infarction ratio (HR 2.01, 95%CI: 1.17-3.44, p=0.01) was independently and significantly associated with the primary endpoint, whereas NYHA-class and lower LVEF were not. Conversely, age (HR 1.06, 95% CI: 1.01-1.12, p=0.02) and lower LVEF (HR 0.95, 95% CI: 0.91-1.00, p=0.04) were independently associated with all-cause mortality, mainly due to heart failure.""],
      dtype=object), 'labels': array(['OBJECTIVE', 'BACKGROUND', 'RESULTS'], dtype=object), 'meshes': array(['Aged', 'Cardiomyopathies', 'Cicatrix',
       'Defibrillators, Implantable', 'Female', 'Follow-Up Studies',
       'Humans', 'Longitudinal Studies',
       'Magnetic Resonance Imaging, Cine', 'Male', 'Middle Aged',
       'Myocardial Ischemia', 'Prospective Studies',
       'Tachycardia, Ventricular'], dtype=object)}","A relatively large peri-infarction mass is associated with sustained VT and/or appropriate ICD therapy, whereas age and lower LVEF are associated with mortality. CMR based tissue characterization could aid in the prediction of specific outcome measures and in clinical decision making.",yes
25442044,Does institutional patient-specific IMRT QA predict unacceptable plan delivery?,"{'contexts': array(['To determine whether in-house patient-specific intensity modulated radiation therapy quality assurance (IMRT QA) results predict Imaging and Radiation Oncology Core (IROC)-Houston phantom results.',
       ""IROC Houston's IMRT head and neck phantoms have been irradiated by numerous institutions as part of clinical trial credentialing. We retrospectively compared these phantom results with those of in-house IMRT QA (following the institution's clinical process) for 855 irradiations performed between 2003 and 2013. The sensitivity and specificity of IMRT QA to detect unacceptable or acceptable plans were determined relative to the IROC Houston phantom results. Additional analyses evaluated specific IMRT QA dosimeters and analysis methods."",
       'IMRT QA universally showed poor sensitivity relative to the head and neck phantom, that is, poor ability to predict a failing IROC Houston phantom result. Depending on how the IMRT QA results were interpreted, overall sensitivity ranged from 2% to 18%. For different IMRT QA methods, sensitivity ranged from 3% to 54%. Although the observed sensitivity was particularly poor at clinical thresholds (eg 3% dose difference or 90% of pixels passing gamma), receiver operator characteristic analysis indicated that no threshold showed good sensitivity and specificity for the devices evaluated.'],
      dtype=object), 'labels': array(['OBJECTIVE', 'METHODS', 'RESULTS'], dtype=object), 'meshes': array(['Credentialing', 'Head and Neck Neoplasms', 'Phantoms, Imaging',
       'Quality Assurance, Health Care', 'ROC Curve',
       'Radiotherapy Dosage', 'Radiotherapy Planning, Computer-Assisted',
       'Radiotherapy, Intensity-Modulated', 'Retrospective Studies',
       'Sensitivity and Specificity'], dtype=object)}","IMRT QA is not a reasonable replacement for a credentialing phantom. Moreover, the particularly poor agreement between IMRT QA and the IROC Houston phantoms highlights surprising inconsistency in the QA process.",no
25451401,Is depression a consistent syndrome : An investigation of unique symptom patterns in the STAR*D study?,"{'contexts': array(['The DSM-5 encompasses a wide range of symptoms for Major Depressive Disorder (MDD). Symptoms are commonly added up to sum-scores, and thresholds differentiate between healthy and depressed individuals. The underlying assumption is that all patients diagnosed with MDD have a similar condition, and that sum-scores accurately reflect the severity of this condition. To test this assumption, we examined the number of DSM-5 depression symptom patterns in the ""Sequenced Treatment Alternatives to Relieve Depression"" (STAR*D) study.',
       'We investigated the number of unique symptom profiles reported by 3703 depressed outpatients at the beginning of the first treatment stage of STAR*D.',
       'Overall, we identified 1030 unique symptom profiles. Of these profiles, 864 profiles (83.9%) were endorsed by five or fewer subjects, and 501 profiles (48.6%) were endorsed by only one individual. The most common symptom profile exhibited a frequency of only 1.8%. Controlling for overall depression severity did not reduce the amount of observed heterogeneity.'],
      dtype=object), 'labels': array(['BACKGROUND', 'METHODS', 'RESULTS'], dtype=object), 'meshes': array(['Adult', 'Depression', 'Depressive Disorder, Major',
       'Diagnostic and Statistical Manual of Mental Disorders', 'Female',
       'Humans', 'Male', 'Middle Aged', 'Outpatients',
       'Severity of Illness Index', 'Treatment Outcome'], dtype=object)}",Symptoms were dichotomized to construct symptom profiles. Many subjects enrolled in STAR*D reported medical conditions for which prescribed medications may have affected symptom presentation.,no
25430494,Does canals of Hering loss relate to the progression of the histological stages of primary biliary cirrhosis?,"{'contexts': array(['The canals of Hering (CoH), which are the most peripherally located bile drainage pathway, are considered a niche of hepatic progenitor cells. Recently, CoH loss has been described as an early feature of primary biliary cirrhosis (PBC). We investigated the correlation between CoH loss and the histopathological variables of PBC.',
       'Liver biopsy specimens from 62 PBC patients (M:F=8:54, age=58 ± 12 years) were evaluated prior to ursodeoxycholic acid treatment. Liver biopsies of patients with normal liver (n=11), chronic viral hepatitis (n=36) and non-alcoholic fatty liver disease (n=13) were used as controls. The number of CoH per definite area of hepatic parenchyma (c to p ratio) was calculated in individual cases. We compared the c to p ratios of PBC patients with that of controls and analysed the correlations with histological variables and clinical features.',
       'The c to p ratios in PBC patients with mild and extensive fibrosis were lower than those in controls with each degree of fibrosis. The c to p ratios were negatively correlated with stage, fibrosis, bile duct loss, orcein-positive granule deposition and hepatitis activities in PBC (p<0.01) and with alkaline phosphatase and total bilirubin levels at liver biopsies (p<0.05).'],
      dtype=object), 'labels': array(['OBJECTIVE', 'METHODS', 'RESULTS'], dtype=object), 'meshes': array(['Aged', 'Alkaline Phosphatase', 'Bile Ducts, Intrahepatic',
       'Bilirubin', 'Biomarkers', 'Biopsy', 'Case-Control Studies',
       'Disease Progression', 'Female', 'Humans', 'Immunohistochemistry',
       'Liver', 'Liver Cirrhosis, Biliary', 'Male', 'Middle Aged',
       'Predictive Value of Tests', 'Severity of Illness Index',
       'Stem Cells', 'Time Factors', 'Treatment Outcome',
       'Ursodeoxycholic Acid'], dtype=object)}","The number of CoH was low in early stages and further decreased with stage progression in PBC. CoH loss, reflecting a reduced supply of progenitor cells to the biliary tree, may be involved in the histological progression of PBC.",yes
25437140,Does transcutaneous vagus nerve stimulation modulate tinnitus-related beta- and gamma-band activity?,"{'contexts': array(['The ability of a treatment method to interfere with tinnitus-related neural activity patterns, such as cortical gamma rhythms, has been suggested to indicate its potential in relieving tinnitus. Therapeutic modulation of gamma-band oscillations with vagus nerve stimulation has been recently reported in epileptic patients. The aim of this study was to investigate the effects of transcutaneous vagus nerve stimulation (tVNS) on neural oscillatory patterns.',
       'We calculated the power spectral density and synchrony of magnetoencephalography recordings during auditory stimulation in seven tinnitus patients and eight normal-hearing control subjects. Comparisons between subject groups were performed to reveal electrophysiological markers of tinnitus. tVNS-specific effects within each group were studied by comparing recording blocks with and without tVNS. We also investigated the correlation of each measure with individual ratings of tinnitus distress, as measured by the tinnitus handicap inventory questionnaire.',
       'Tinnitus patients differed from controls in the baseline condition (no tVNS applied), measured by both cortical oscillatory power and synchronization, particularly at beta and gamma frequencies. Importantly, we found tVNS-induced changes in synchrony, correlating strongly with tinnitus handicap inventory scores, at whole-head beta-band (r = -0.857, p = 0.007), whole-head gamma-band (r = -0.952, p = 0.0003), and frontal gamma-band (r = -0.952, p = 0.0003).'],
      dtype=object), 'labels': array(['OBJECTIVE', 'METHODS', 'RESULTS'], dtype=object), 'meshes': array(['Acoustic Stimulation', 'Adult', 'Beta Rhythm',
       'Cortical Synchronization', 'Female', 'Gamma Rhythm', 'Humans',
       'Magnetoencephalography', 'Male', 'Middle Aged',
       'Stress, Psychological', 'Surveys and Questionnaires', 'Tinnitus',
       'Transcutaneous Electric Nerve Stimulation',
       'Vagus Nerve Stimulation', 'Young Adult'], dtype=object)}",We conclude that tVNS was successful in modulating tinnitus-related beta- and gamma-band activity and thus could have potential as a treatment method for tinnitus.,yes
